id,isbn13,isbn10,title,language,binding,release_date,edition,pages,dimensions,rating,publisher,author,copies
255,9781589801769,1589801768,"Halloween Reader: Poems, Stories, and Plays from Halloweens Past",English,Paperback,2004-08-01,New Edition,272,6.16 (w) x 8.94 (h) x 0.76 (d),2.9,"Pelican Publishing Company, Incorporated",Lesley Pratt Bannatyne,20
256,9780321116239,321116232,"American Literature (Penguin Academics Series), Vol. 1",English,Paperback,2004-02-01,1st Edition,1392,5.50 (w) x 8.30 (h) x 1.50 (d),1.2,Longman,William E. Cain,20
257,9780631204497,631204490,Modernism: An Anthology,English,Paperback,2005-01-01,1st Edition,1216,6.80 (w) x 9.72 (h) x 1.90 (d),4.7,"Wiley, John & Sons, Incorporated","Lawrence Rainey (Editor), Blackwell Publishers",11
258,9780813531649,813531640,The New Anthology of American Poetry: Volume II: Modernisms: 1900-1950,English,Paperback,2005-02-01,1st Edition,856,5.90 (w) x 9.00 (h) x 1.60 (d),2.5,Rutgers University Press,"Steven Gould Axelrod (Editor), Camille Roman, Camille Roman (Editor), Thomas Travisano (Editor), Camille Roman",14
259,9780816513840,816513848,Infinite Divisions: An Anthology of Chicana Literature,English,Paperback,1993-06-01,,393,6.00 (w) x 9.00 (h) x 1.10 (d),2.5,University of Arizona Press,"Tey Diana Rebolledo, Eliana S. Rivero, Tey Diana Rebolledo, Eliana S. Rivero",7
260,9780786436842,786436840,A Hallowe'en Anthology: Literary and Historical Writings over the Centuries,English,Paperback,2008-01-01,,214,6.94 (w) x 9.99 (h) x 0.50 (d),3.9,"McFarland & Company, Incorporated Publishers",Lisa Morton,11
261,9780312596224,312596227,Sticks and Stones and Other Student Essays,English,Paperback,2010-07-01,7th Edition,240,5.49 (w) x 8.33 (h) x 0.46 (d),3.1,Bedford/St. Martin's,"Ruthe Thompson, Rise B. Axelrod, Charles R. Cooper",20
262,9780072564020,72564024,Women's Worlds: The Mcgraw-Hill Anthology of Women's Writing,English,Paperback,2007-12-01,1st Edition,2080,6.00 (w) x 9.10 (h) x 1.77 (d),2.9,"McGraw-Hill Companies, The","Robyn Warhol-Down, Diane Price Herndl (Editor), Mary Lou Kete",4
263,9780812979923,812979923,New York Stories: The Best Writing from Four Decades of New York Magazine,English,Paperback,2008-09-01,,624,6.20 (w) x 9.10 (h) x 1.40 (d),3.6,Random House Publishing Group,"Steve Fishman, John Homans (Editor), Adam Moss (Editor), Tom Wolfe",20
264,9780231081221,231081227,The Columbia Anthology of American Poetry,English,Hardcover,1995-07-01,,757,6.48 (w) x 9.52 (h) x 1.63 (d),1.5,Columbia University Press,Jay Parini,1
265,9781575256184,1575256185,New Playwrights: The Best Plays of 2008,English,Paperback,2009-02-01,,384,5.40 (w) x 8.40 (h) x 0.80 (d),4.3,"Smith & Kraus, Inc.","Lawrence Harbison (Editor), John Cariani",11
266,9780253206374,253206375,The Jazz Poetry Anthology,English,Paperback,1991-06-01,1,320,6.12 (w) x 9.23 (h) x 1.00 (d),1.6,Indiana University Press,"Sascha Feinstein, Yusef Komunyakaa",20
267,9781575255590,1575255596,New Playwrights: The Best Plays of 2006,English,Paperback,2007-01-01,,393,5.40 (w) x 8.40 (h) x 1.00 (d),1.5,"Smith & Kraus, Inc.","D. L. Lepidus (Editor), Chungmi Kim",19
268,9780295969749,295969741,The Last Best Place: A Montana Anthology,English,Paperback,2003-06-01,,1158,5.87 (w) x 9.46 (h) x 2.58 (d),4.0,University of Washington Press,"William Kittredge (Editor), Annick Smith",9
269,9780881508598,881508594,A Place Apart: A Cape Cod Reader,English,Paperback,2009-06-01,Original,,,3.8,"Countryman Press, The",Robert Finch,5
270,9780140273052,140273050,Prison Writings in 20th-Century America,English,Paperback,1998-06-01,,368,5.15 (w) x 7.80 (h) x 0.83 (d),1.2,Penguin Group (USA) Incorporated,"H. Bruce Franklin, Tom Wicker",19
271,9781570758461,1570758468,The Color of Gratitude: And Other Spiritual Surprises,English,Paperback,2009-09-01,,168,5.50 (w) x 8.22 (h) x 0.34 (d),4.9,Orbis Books,Robert Morneau,15
272,9780060874117,60874112,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,English,Compact Disc,2005-09-01,Abridged,,,4.3,HarperCollins Publishers,"Paul Auster, Paul Auster",3
273,9781565847446,156584744X,Growing up Poor: A Literary Anthology,English,Paperback,2002-06-01,1st Edition,304,5.54 (w) x 8.18 (h) x 0.81 (d),2.5,"New Press, The","Robert Coles, Randy (Ed.) Testa, Michael (Ed.) Coles, Randy Testa (Editor), Michael Coles",7
274,9780811807845,811807843,"Drinking, Smoking and Screwing: Great Writers on Good Times",English,Paperback,1994-08-01,1,224,5.50 (w) x 8.50 (h) x 0.25 (d),2.8,Chronicle Books LLC,"Sara Nickles (Editor), Bob Shacochis (Illustrator), Bob Shocochis",7
